customer_id,first_name,last_name,email,phone,state,signup_date
CUST-1150,First150,Last150,user150@example.com,9397494022,PA,2024-07-05
CUST-1151,First151,Last151,user151@example.com,9402040381,OH,2024-05-28
CUST-1152,First152,Last152,user152@example.com,9716417767,NC,2024-09-12
CUST-1153,First153,Last153,user153@example.com,9992034154,NY,2024-04-20
CUST-1154,First154,Last154,user154@example.com,9598883812,NY,2024-05-29
CUST-1155,First155,Last155,user155@example.com,9493582855,OH,2024-01-22
CUST-1156,First156,Last156,user156@example.com,9653560367,CA,2024-02-28
CUST-1157,First157,Last157,user157@example.com,9158640955,IL,2024-09-27
CUST-1158,First158,Last158,user158@example.com,9587003387,PA,2024-02-06
CUST-1159,First159,Last159,user159@example.com,9974749832,FL,2024-02-27
CUST-1160,First160,Last160,user160@example.com,9940944820,CA,2024-04-03
CUST-1161,First161,Last161,user161@example.com,9776691507,NY,2024-06-05
CUST-1162,First162,Last162,user162@example.com,9942081032,OH,2024-11-06
CUST-1163,First163,Last163,user163@example.com,9323508881,NC,2024-04-04
CUST-1164,First164,Last164,user164@example.com,9237575936,CA,2024-02-08
CUST-1165,First165,Last165,user165@example.com,9997030124,GA,2024-08-04
CUST-1166,First166,Last166,user166@example.com,9946827327,PA,2024-07-27
CUST-1167,First167,Last167,user167@example.com,9897481265,CA,2024-05-12
CUST-1168,First168,Last168,user168@example.com,9529345545,NY,2024-01-10
CUST-1169,First169,Last169,user169@example.com,9329827491,PA,2024-02-08
CUST-1170,First170,Last170,user170@example.com,9788793567,CA,2024-11-14
CUST-1171,First171,Last171,user171@example.com,9466961436,PA,2024-03-01
CUST-1172,First172,Last172,user172@example.com,9252628679,IL,2024-03-12
CUST-1173,First173,Last173,user173@example.com,9292560633,WA,2024-07-18
CUST-1174,First174,Last174,user174@example.com,9374351478,NC,2024-07-07
CUST-1175,First175,Last175,user175@example.com,9249643409,TX,2024-10-09
CUST-1176,First176,Last176,user176@example.com,9909475147,TX,2024-08-11
CUST-1177,First177,Last177,user177@example.com,9767560265,NY,2024-06-28
CUST-1178,First178,Last178,user178@example.com,9802769435,NY,2024-04-03
CUST-1179,First179,Last179,user179@example.com,9875093069,TX,2024-04-12
CUST-1180,First180,Last180,user180@example.com,9333384974,IL,2024-05-06
CUST-1181,First181,Last181,user181@example.com,9309498401,NC,2024-07-17
CUST-1182,First182,Last182,user182@example.com,9398152311,NY,2024-12-21
CUST-1183,First183,Last183,user183@example.com,9878512688,WA,2024-09-01
CUST-1184,First184,Last184,user184@example.com,9443995693,NY,2024-01-08
CUST-1185,First185,Last185,user185@example.com,9478898654,FL,2024-11-01
CUST-1186,First186,Last186,user186@example.com,9209335580,NC,2024-02-08
CUST-1187,First187,Last187,user187@example.com,9721832445,NY,2024-04-13
CUST-1188,First188,Last188,user188@example.com,9865401953,NY,2024-07-11
CUST-1189,First189,Last189,user189@example.com,9189118733,CA,2024-08-14
CUST-1190,First190,Last190,user190@example.com,9942461913,NC,2024-01-26
CUST-1191,First191,Last191,user191@example.com,9889865672,IL,2024-08-19
CUST-1192,First192,Last192,user192@example.com,9530944123,PA,2024-11-14
CUST-1193,First193,Last193,user193@example.com,9733302136,OH,2024-03-14
CUST-1194,First194,Last194,user194@example.com,9109970773,FL,2024-06-13
CUST-1195,First195,Last195,user195@example.com,9188494613,FL,2024-02-15
CUST-1196,First196,Last196,user196@example.com,9322531159,GA,2024-01-14
CUST-1197,First197,Last197,user197@example.com,9277283952,OH,2024-01-17
CUST-1198,First198,Last198,user198@example.com,9320975642,IL,2024-01-07
CUST-1199,First199,Last199,user199@example.com,9545080352,PA,2024-10-14
