customer_id,first_name,last_name,email,phone,state,signup_date
CUST-1050,First50,Last50,user50@example.com,9240657902,OH,2024-05-06
CUST-1051,First51,Last51,user51@example.com,9296968323,GA,2024-11-15
CUST-1052,First52,Last52,user52@example.com,9755421511,CA,2024-07-15
CUST-1053,First53,Last53,user53@example.com,9326015072,TX,2024-07-27
CUST-1054,First54,Last54,user54@example.com,9603737812,IL,2024-10-23
CUST-1055,First55,Last55,user55@example.com,9219988940,IL,2024-10-01
CUST-1056,First56,Last56,user56@example.com,9936773187,FL,2024-07-24
CUST-1057,First57,Last57,user57@example.com,9783418273,FL,2024-08-15
CUST-1058,First58,Last58,user58@example.com,9158760325,PA,2024-12-21
CUST-1059,First59,Last59,user59@example.com,9979730277,NC,2024-03-06
CUST-1060,First60,Last60,user60@example.com,9829179384,OH,2024-05-02
CUST-1061,First61,Last61,user61@example.com,9331370861,CA,2024-02-18
CUST-1062,First62,Last62,user62@example.com,9409645443,TX,2024-12-26
CUST-1063,First63,Last63,user63@example.com,9329825686,NY,2024-03-07
CUST-1064,First64,Last64,user64@example.com,9128935342,PA,2024-03-28
CUST-1065,First65,Last65,user65@example.com,9998455718,NY,2024-10-14
CUST-1066,First66,Last66,user66@example.com,9776978254,FL,2024-10-06
CUST-1067,First67,Last67,user67@example.com,9598567748,WA,2024-10-23
CUST-1068,First68,Last68,user68@example.com,9689511183,WA,2024-09-10
CUST-1069,First69,Last69,user69@example.com,9413091769,CA,2024-05-15
CUST-1070,First70,Last70,user70@example.com,9544432411,PA,2024-06-25
CUST-1071,First71,Last71,user71@example.com,9537547067,FL,2024-07-26
CUST-1072,First72,Last72,user72@example.com,9158871415,WA,2024-02-19
CUST-1073,First73,Last73,user73@example.com,9241286995,NC,2024-09-06
CUST-1074,First74,Last74,user74@example.com,9594651620,NY,2024-02-06
CUST-1075,First75,Last75,user75@example.com,9792834363,PA,2024-03-27
CUST-1076,First76,Last76,user76@example.com,9753313021,TX,2024-05-24
CUST-1077,First77,Last77,user77@example.com,9534726785,IL,2024-10-20
CUST-1078,First78,Last78,user78@example.com,9174660681,IL,2024-06-25
CUST-1079,First79,Last79,user79@example.com,9359341693,PA,2024-02-28
CUST-1080,First80,Last80,user80@example.com,9523972525,PA,2024-07-08
CUST-1081,First81,Last81,user81@example.com,9305891298,GA,2024-01-13
CUST-1082,First82,Last82,user82@example.com,9148257300,WA,2024-03-21
CUST-1083,First83,Last83,user83@example.com,9826199843,PA,2024-09-27
CUST-1084,First84,Last84,user84@example.com,9593503442,OH,2024-07-15
CUST-1085,First85,Last85,user85@example.com,9203090136,GA,2024-10-21
CUST-1086,First86,Last86,user86@example.com,9401954435,CA,2024-04-26
CUST-1087,First87,Last87,user87@example.com,9768976706,CA,2024-07-07
CUST-1088,First88,Last88,user88@example.com,9448533685,FL,2024-12-12
CUST-1089,First89,Last89,user89@example.com,9615659805,CA,2024-03-09
CUST-1090,First90,Last90,user90@example.com,9528874614,PA,2024-05-01
CUST-1091,First91,Last91,user91@example.com,9992590138,OH,2024-11-27
CUST-1092,First92,Last92,user92@example.com,9631669196,WA,2024-05-10
CUST-1093,First93,Last93,user93@example.com,9646568015,GA,2024-01-11
CUST-1094,First94,Last94,user94@example.com,9911146898,NC,2024-08-31
CUST-1095,First95,Last95,user95@example.com,9328301465,CA,2024-03-21
CUST-1096,First96,Last96,user96@example.com,9352012933,CA,2024-01-28
CUST-1097,First97,Last97,user97@example.com,9469537026,NY,2024-07-09
CUST-1098,First98,Last98,user98@example.com,9617597421,OH,2024-02-29
CUST-1099,First99,Last99,user99@example.com,9186439960,OH,2024-06-14
