customer_id,first_name,last_name,email,phone,state,signup_date
CUST-1000,First0,Last0,user0@example.com,9183751729,GA,2024-05-11
CUST-1001,First1,Last1,user1@example.com,9222579988,OH,2024-03-21
CUST-1002,First2,Last2,user2@example.com,9675720377,CA,2024-08-02
CUST-1003,First3,Last3,user3@example.com,9551764116,NY,2024-09-19
CUST-1004,First4,Last4,user4@example.com,9613718467,CA,2024-06-15
CUST-1005,First5,Last5,user5@example.com,9141966822,FL,2024-08-02
CUST-1006,First6,Last6,user6@example.com,9599049266,CA,2024-04-13
CUST-1007,First7,Last7,user7@example.com,9109826334,PA,2024-04-10
CUST-1008,First8,Last8,user8@example.com,9218496240,PA,2024-06-09
CUST-1009,First9,Last9,user9@example.com,9164714970,FL,2024-07-27
CUST-1010,First10,Last10,user10@example.com,9982906499,WA,2024-04-09
CUST-1011,First11,Last11,user11@example.com,9263893033,NY,2024-11-04
CUST-1012,First12,Last12,user12@example.com,9155156386,WA,2024-12-29
CUST-1013,First13,Last13,user13@example.com,9890205767,GA,2024-06-26
CUST-1014,First14,Last14,user14@example.com,9923286462,NY,2024-04-06
CUST-1015,First15,Last15,user15@example.com,9310630358,FL,2024-04-17
CUST-1016,First16,Last16,user16@example.com,9475003002,GA,2024-10-08
CUST-1017,First17,Last17,user17@example.com,9784649491,FL,2024-08-24
CUST-1018,First18,Last18,user18@example.com,9247707717,NC,2024-06-10
CUST-1019,First19,Last19,user19@example.com,9802105447,CA,2024-09-11
CUST-1020,First20,Last20,user20@example.com,9355906991,CA,2024-10-07
CUST-1021,First21,Last21,user21@example.com,9791958097,PA,2024-09-25
CUST-1022,First22,Last22,user22@example.com,9692779847,NC,2024-04-24
CUST-1023,First23,Last23,user23@example.com,9878350375,NY,2024-01-17
CUST-1024,First24,Last24,user24@example.com,9888111144,IL,2024-03-27
CUST-1025,First25,Last25,user25@example.com,9561873562,CA,2024-05-02
CUST-1026,First26,Last26,user26@example.com,9646251898,FL,2024-09-04
CUST-1027,First27,Last27,user27@example.com,9768367928,TX,2024-03-24
CUST-1028,First28,Last28,user28@example.com,9354130893,NY,2024-11-11
CUST-1029,First29,Last29,user29@example.com,9843135452,FL,2024-06-25
CUST-1030,First30,Last30,user30@example.com,9110692917,NY,2024-03-22
CUST-1031,First31,Last31,user31@example.com,9237648598,FL,2024-03-22
CUST-1032,First32,Last32,user32@example.com,9662118816,OH,2024-09-09
CUST-1033,First33,Last33,user33@example.com,9958928477,WA,2024-07-31
CUST-1034,First34,Last34,user34@example.com,9152078386,NY,2024-12-10
CUST-1035,First35,Last35,user35@example.com,9212749603,NY,2024-05-23
CUST-1036,First36,Last36,user36@example.com,9341550799,WA,2024-07-09
CUST-1037,First37,Last37,user37@example.com,9160704220,CA,2024-08-13
CUST-1038,First38,Last38,user38@example.com,9832079565,TX,2024-03-07
CUST-1039,First39,Last39,user39@example.com,9586639178,FL,2024-04-25
CUST-1040,First40,Last40,user40@example.com,9392469714,PA,2024-07-10
CUST-1041,First41,Last41,user41@example.com,9580345217,PA,2024-12-18
CUST-1042,First42,Last42,user42@example.com,9391028591,IL,2024-11-27
CUST-1043,First43,Last43,user43@example.com,9204691349,NY,2024-04-22
CUST-1044,First44,Last44,user44@example.com,9181313601,IL,2024-11-29
CUST-1045,First45,Last45,user45@example.com,9596776345,PA,2024-03-13
CUST-1046,First46,Last46,user46@example.com,9744487977,TX,2024-08-29
CUST-1047,First47,Last47,user47@example.com,9574134310,NY,2024-07-07
CUST-1048,First48,Last48,user48@example.com,9433154337,NC,2024-10-27
CUST-1049,First49,Last49,user49@example.com,9453656176,WA,2024-10-03
